string,regex,expected_match,question
tóaonsteuhtn,\S*[\u00E0-\u00FC]\S*,tóaonsteuhtn,"String: tóaonsteuhtn
Regular Expression: \S*[\u00E0-\u00FC]\S*"
asnotehutnd,\S*[\u00E0-\u00FC]\S*,<NO_MATCH>,"String: asnotehutnd
Regular Expression: \S*[\u00E0-\u00FC]\S*"
asnotehutnd aontehueüeeoooo,\S*[\u00E0-\u00FC]\S*,aontehueüeeoooo,"String: asnotehutnd aontehueüeeoooo
Regular Expression: \S*[\u00E0-\u00FC]\S*"
https://xnô--aklandlearn-5kd.org/,\S*[\u00E0-\u00FC]\S*,https://xnô--aklandlearn-5kd.org/,"String: https://xnô--aklandlearn-5kd.org/
Regular Expression: \S*[\u00E0-\u00FC]\S*"
EC1A 1BB,"^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$",EC1A 1BB,"String: EC1A 1BB
Regular Expression: ^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
B33 8TH,"^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$",B33 8TH,"String: B33 8TH
Regular Expression: ^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
DN55 1PT,"^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$",DN55 1PT,"String: DN55 1PT
Regular Expression: ^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
45oi8,"^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$",<NO_MATCH>,"String: 45oi8
Regular Expression: ^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
CA7629,"^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$",<NO_MATCH>,"String: CA7629
Regular Expression: ^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
ECA1 B1B,"^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$",<NO_MATCH>,"String: ECA1 B1B
Regular Expression: ^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
SW45 98UUU,"^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$",<NO_MATCH>,"String: SW45 98UUU
Regular Expression: ^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
Wroclaw - 17:42,(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9],Wroclaw - 17:42,"String: Wroclaw - 17:42
Regular Expression: (\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
Berlin - 17:42,(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9],Berlin - 17:42,"String: Berlin - 17:42
Regular Expression: (\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
San Jose - 17:42,(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9], Jose - 17:42,"String: San Jose - 17:42
Regular Expression: (\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
SUnJose - 17:42,(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9],SUnJose - 17:42,"String: SUnJose - 17:42
Regular Expression: (\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
SUnJose -17:42,(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9],<NO_MATCH>,"String: SUnJose -17:42
Regular Expression: (\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
SUnJose- 17:42,(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9],<NO_MATCH>,"String: SUnJose- 17:42
Regular Expression: (\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
