string,regex
"tóaonsteuhtn","\S*[\u00E0-\u00FC]\S*"
"asnotehutnd","\S*[\u00E0-\u00FC]\S*"
"asnotehutnd aontehueüeeoooo","\S*[\u00E0-\u00FC]\S*"
"https://xnô--aklandlearn-5kd.org/","\S*[\u00E0-\u00FC]\S*"
"EC1A 1BB","^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
"B33 8TH","^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
"DN55 1PT","^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
"45oi8","^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
"CA7629","^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
"ECA1 B1B","^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
"SW45 98UUU","^([a-zA-Z]{1,2}\d{1,2}[a-zA-Z]{0,2})\s*?(\d[a-zA-Z]{2})$"
"Wroclaw - 17:42","(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
"Berlin - 17:42","(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
"San Jose - 17:42","(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
"SUnJose - 17:42","(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
"SUnJose -17:42","(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
"SUnJose- 17:42","(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
"SUnJose- 17h42","(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
"2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.","(2020(-03)+).*([A-Za-z]+( [A-Za-z]+)+)"
"2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.","([A-Za-z]+( [A-Za-z]+)+)"
"2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.","\[[^\]]*\].*(\s(\B#([A-Za-z0-9]{2,})(?![~!@#$%^&*()=+_`\-\|\/'\[\]\{\}]|[?.,]*\w)\s)+)"
"2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.","(\s(\B#([A-Za-z0-9]{2,})(?![~!@#$%^&*()=+_`\-\|\/'\[\]\{\}]|[?.,]*\w)\s)+)"
"2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.","([A-Za-z0-9]+(\.[A-Za-z0-9]+)+)"
"2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.","[A-Za-z0-9]+"
"2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.","([+-]?(?=\.\d|\d)(?:\d+)?(?:\.?\d*))(?:[Ee]([+-]?\d+))?.*(\s([A-Za-z]+\s)+).*\B#([A-Za-z0-9]{2,})(?![~!@#$%^&*()=+_`\-\|\/'\[\]\{\}]|[?.,]*\w)"
"2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.","[0-9]+.*(0?[0-9]|[1-5][0-9]).*(\s([A-Za-z]+\s)+).*'.*'"
"2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.","[^\]]*.*(\s+([A-Za-z]+\s+)+).*m.*(\s([A-Za-z]+\s)+)'.*'"
